name,population,geometry,long,lat,keep
Omak,4860,"c(-119.52755, 48.4109853)",-119.52755,48.4109853,TRUE
Okanogan,2379,"c(-119.583866, 48.3621013)",-119.583866,48.3621013,FALSE
Brewster,2136,"c(-119.7806166, 48.0959784)",-119.7806166,48.0959784,TRUE
Bridgeport,2033,"c(-119.671164, 48.0081999)",-119.671164,48.0081999,FALSE
Oroville,1795,"c(-119.436168, 48.9376147)",-119.436168,48.9376147,FALSE
Tonasket,1103,"c(-119.4373513, 48.7052355)",-119.4373513,48.7052355,FALSE
Grand Coulee,972,"c(-119.0033548, 47.9415408)",-119.0033548,47.9415408,FALSE
Twisp,916,"c(-120.122303, 48.3634784)",-120.122303,48.3634784,TRUE
Pateros,621,"c(-119.9034007, 48.0509756)",-119.9034007,48.0509756,TRUE
Winthrop,371,"c(-120.1861956, 48.4779232)",-120.1861956,48.4779232,TRUE
Riverside,335,"c(-119.5075073, 48.5026837)",-119.5075073,48.5026837,FALSE
Elmer City,257,"c(-118.9544656, 47.9979311)",-118.9544656,47.9979311,FALSE
Nespelem,206,"c(-118.9747476, 48.1671004)",-118.9747476,48.1671004,FALSE
Conconully,184,"c(-119.7497894, 48.557371)",-119.7497894,48.557371,FALSE
Coulee Dam,NA,"c(-118.9758743, 47.9664413)",-118.9758743,47.9664413,FALSE
Malott,494,"c(-119.7067271, 48.2826495)",-119.7067271,48.2826495,TRUE
Carlton,400,"c(-120.1161905, 48.2482001)",-120.1161905,48.2482001,TRUE
